,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
200,Friday,Joe Pytka,animation,Space Jam,15/11/1996,WB,349.2,80.0,230.4,6.2,2.73,140,60.8,150.4,188.0,88,90.4,39.2
201,Friday,Ridley Scott,action,Robin Hood,14/05/2010,Universal,350.8,180.0,321.7,6.7,3.19,216.4,67.3,141.7,78.7,140,105.3,32.7
204,Friday,Anne Fletcher,comedy,The Proposal,19/06/2009,Buena Vista Studios,351.8,40.0,317.4,6.7,3.52,153.4,48.3,277.4,693.5,108,164.0,51.7
205,Friday,Joel Schumacher,action,Batman and Robin,20/06/1997,WB,352.9,125.0,238.2,3.6,3.06,130.9,54.9,113.2,90.6,125,107.3,45.1
206,Friday,Michael Bay,action,Bad Boys II,18/07/2003,Sony,353.2,130.0,273.3,6.5,3.09,134.7,49.3,143.3,110.2,147,138.6,50.7
208,Wednesday,Raja Gosnell,animation,The Smurfs 2,31/07/2013,Sony,354.7,110.0,347.5,5.4,2.28,276.5,79.6,237.5,215.9,105,71.0,20.4
211,Friday,George Miller,action,Mad Max: Fury Road,15/05/2015,WB,356.4,150.0,356.4,8.5,3.95,209.3,58.7,206.4,137.6,120,147.1,41.3
214,Friday,Baz Luhrmann,drama,The Great Gatsby (2013),10/05/2013,WB,358.3,190.0,351,7.3,3.49,206.2,58.7,161,84.7,142,144.8,41.3
216,Friday,Neil Jordan,drama,Interview with the Vampire,11/11/1994,WB,359,50.0,223.7,7.6,3.49,118.4,52.9,173.7,347.4,123,105.3,47.1
219,Friday,Robert Zemeckis,animation,A Christmas Carol (2009),6/11/2009,Buena Vista Studios,360.6,190.0,325.3,6.9,3.24,187.4,57.6,135.3,71.2,96,137.9,42.4
220,Friday,"Dean DeBlois, Chris Sanders",animation,Lilo & Stitch,21/06/2002,Buena Vista Studios,361,80.0,273.1,7.1,3.49,127.3,46.6,193.1,241.4,85,145.8,53.4
221,Friday,"Chris Renaud, Kyle Balda",animation,Dr. Seuss' The Lorax,2/03/2012,Universal,361.3,67.5,348.8,6.5,3.17,134.8,38.6,281.3,416.7,86,214.0,61.4
